sep=|
DIPUTACIONES
06/09/2022 22:30 (UTC-5)
CLAVE_CASILLA|CLAVE_ACTA|ID_ESTADO|ESTADO|ID_DISTRITO_LOCAL|DISTRITO_LOCAL|SECCION|ID_CASILLA|TIPO_CASILLA|EXT_CONTIGUA|UBICACION_CASILLA|TIPO_ACTA|PAN|PRI|PRD|PVEM|PT|MC|MORENA|MAS|CXQROO|FXMQROO|CAND_IND_1|C_PAN_PRD_CQROO|C_PAN_PRD|C_PAN_CQROO|C_PRD_CQROO|C_PVEM_PT_MORENA_FXMQROO|C_PVEM_PT_MORENA|C_PVEM_PT_FXMQROO|C_PVEM_MORENA_FXMQROO|C_PT_MORENA_FXMQROO|C_PVEM_PT|C_PVEM_MORENA|C_PVEM_FXMQROO|C_PT_MORENA|C_PT_FXMQROO|C_MORENA_FXMQROO|NO_REGISTRADOS|NULOS|TOTAL|LISTA_NOMINAL|OBSERVACIONES
="230179C0800"|230179C080002|23|QUINTANA ROO|="01"|DISTRITO 1|="0179"|8|C|0|2|2|10|4|4|107|11|11|69|12|1|8|-|3|0|0|0|0|0|0|0|0|3|7|0|2|0|1|1|25|279|740|COTEJADO EN PLENO
="230179C0900"|230179C090002|23|QUINTANA ROO|="01"|DISTRITO 1|="0179"|9|C|0|2|2|13|7|9|128|17|20|74|16|2|7|-|1|1|0|0|1|0|0|0|0|0|4|1|0|1|0|1|5|308|740|COTEJADO EN PLENO
="230179C1000"|230179C100002|23|QUINTANA ROO|="01"|DISTRITO 1|="0179"|10|C|0|2|2|18|2|9|115|9|16|87|16|0|12|-|0|0|0|0|0|0|0|0|0|1|7|1|1|0|0|0|19|313|740|COTEJADO EN PLENO
="230179C1100"|230179C110002|23|QUINTANA ROO|="01"|DISTRITO 1|="0179"|11|C|0|2|2|18|5|2|109|12|15|72|11|1|8|-|1|0|0|0|1|0|0|0|0|3|1|1|1|0|0|0|11|272|739|COTEJADO EN PLENO
="230179C1200"|230179C120002|23|QUINTANA ROO|="01"|DISTRITO 1|="0179"|12|C|0|2|2|12|6|3|116|11|15|90|15|1|10|-|2|0|0|0|0|0|0|0|0|2|4|1|1|0|1|1|15|306|739|COTEJADO EN PLENO
="230179C1300"|230179C130002|23|QUINTANA ROO|="01"|DISTRITO 1|="0179"|13|C|0|2|2|19|8|7|103|8|18|84|13|1|11|-|0|0|0|0|0|6|1|0|0|2|4|1|1|0|0|0|5|292|739|COTEJADO EN PLENO
="230179C1400"|230179C140002|23|QUINTANA ROO|="01"|DISTRITO 1|="0179"|14|C|0|2|2|26|4|4|94|12|20|86|20|1|3|-|4|3|0|0|0|0|0|0|0|1|2|0|0|0|0|0|10|290|739|COTEJADO EN PLENO
="230179C1500"|230179C150002|23|QUINTANA ROO|="01"|DISTRITO 1|="0179"|15|C|0|2|2|14|8|2|135|18|11|66|12|0|5|-|5|0|0|0|0|0|0|0|0|1|4|0|0|0|0|0|14|295|739|COTEJADO EN PLENO
="230179C1600"|230179C160002|23|QUINTANA ROO|="01"|DISTRITO 1|="0179"|16|C|0|2|2|17|1|6|117|11|15|63|14|0|8|-|4|0|0|0|1|3|0|0|0|1|3|0|0|0|0|0|14|278|739|COTEJADO EN PLENO
="230179C1700"|230179C170002|23|QUINTANA ROO|="01"|DISTRITO 1|="0179"|17|C|0|2|2|21|4|2|104|13|15|76|13|2|7|-|0|0|0|0|0|2|0|0|0|1|2|0|1|0|0|1|15|279|739|COTEJADO EN PLENO
